# syn_a_rewrite.txt — Tier A hard-rewrite lookup
# Source: pick_canonicals_a.py --emit (Policy C on syn_a_10.txt)
# Members that are themselves canonicals of any cluster are not
# emitted. On ambiguity across SAFE clusters, highest member score wins.
# Format: member,canonical
#
abrasive,rough
accurate,true
adept,proficient
affluent,rich
affordable,cheap
ageless,eternal
aggressive,hostile
ajar,open
appalling,horrendous
apprehensible,understandable
ardent,fiery
arduous,hard
arid,dry
arrant,perfect
articulate,fluent
artificial,bogus
assorted,miscellaneous
assured,sure
at_hand,upcoming
atrocious,horrible
au_naturel,naked
autonomous,independent
available,open
avaricious,greedy
awesome,awful
bare,naked
batty,wacky
benevolent,kind
bibulous,drunken
bigger,larger
bighearted,generous
bland,tasteless
blanket,wide
bone_dry,dry
bonkers,wacky
booming,prosperous
boozy,drunken
bouldered,rocky
bouldery,rocky
brainsick,crazy
brainy,smart
broad,wide
brooding,reflective
brutal,vicious
cagey,clever
cagy,clever
canny,clever
capable,able
celebrated,famous
centrical,halfway
certain,sure
challenging,hard
chicken,cowardly
chief,stellar
chilling,scary
clandestine,secret
close,near
close_at_hand,upcoming
cockamamie,silly
cockamamy,silly
coeval,concurrent
coincident,simultaneous
coinciding,simultaneous
competent,able
composed,tranquil
conceited,vain
condemnable,criminal
confident,sure
confidential,private
consummate,perfect
contemporaneous,concurrent
contemporary,modern
conterminous,adjacent
contiguous,adjacent
convinced,sure
cooccurring,simultaneous
cordial,friendly
corpulent,obese
correct,true
costly,expensive
courteous,polite
covetous,greedy
crappy,shitty
craven,cowardly
crucial,important
cruel,vicious
crystal_clear,transparent
curious,peculiar
current,modern
damp,wet
deceased,dead
deceitful,dishonest
decreased,low
definite,sure
defunct,dead
demented,crazy
dense,thick
desiccated,dry
despicable,wretched
difficult,hard
dim,dark
direful,terrible
distinct,different
diverse,miscellaneous
doddering,gaga
doddery,gaga
downlike,fluffy
downy,fluffy
dread,terrible
dreaded,terrible
dubitable,doubtful
dumb,stupid
earnest,serious
eerie,uncanny
electrical,electric
eloquent,fluent
encompassing,wide
engaged,busy
enormous,big
epicurean,luxurious
erroneous,wrong
exceeding,exceptional
executable,viable
expert,proficient
extensive,wide
famed,famous
fancied,fictional
farfetched,unlikely
farming,agricultural
fat,thick
faux,bogus
fearsome,terrible
feasible,viable
ferocious,vicious
fervent,fiery
fervid,fiery
fictitious,fictional
fierce,violent
filled,full
fishy,suspicious
flakey,bizarre
flaky,bizarre
flavorless,tasteless
flossy,fluffy
flourishing,prosperous
flowing,fluent
foolhardy,reckless
footling,petty
forbidden,illicit
former,old
fraudulent,dishonest
frightening,terrible
frightful,horrible
frigid,cold
fundamental,important
ghostly,uncanny
giving,generous
gloomy,dark
gluey,sticky
glutinous,sticky
gonzo,bizarre
goofy,silly
gorgeous,beautiful
grabby,greedy
graspable,understandable
grasping,greedy
gummy,sticky
hapless,poor
harsh,rough
hasty,fast
hazardous,dangerous
helpless,unable
heterogeneous,miscellaneous
horny,randy
horrifying,horrible
huge,big
humongous,jumbo
icky,shitty
icy,cold
identical,same
idle,lazy
iffy,dubious
illegal,illicit
illegitimate,illicit
illustrious,famous
imitation,bogus
impassioned,fiery
impendent,imminent
impending,imminent
impolite,rude
improbable,unlikely
in_question,doubtful
incapable,unable
incomparable,unique
incorrect,wrong
indolent,lazy
inexorable,unwavering
inexpensive,cheap
infrequent,rare
inherited,genetic
inordinate,excessive
insane,crazy
intelligent,smart
intense,deep
intermediate,halfway
key,important
knifelike,sharp
kooky,wacky
leery,suspicious
lifeless,dead
limpid,transparent
loony,wacky
loopy,wacky
lousy,shitty
lovely,beautiful
lower,low
lucid,transparent
luminous,bright
main,stellar
marvelous,magnificent
massive,big
matchless,unique
mid,halfway
mighty,strong
miniature,small
minor,petty
miserable,poor
miserly,stingy
misfortunate,poor
mistaken,wrong
mistrustful,suspicious
moist,wet
monstrous,jumbo
motley,miscellaneous
mucilaginous,sticky
mundane,everyday
musing,reflective
nearby,near
neighboring,adjacent
nice,good
niggardly,stingy
niggling,petty
nonpublic,private
noted,famous
novel,new
nude,naked
occupied,busy
offbeat,quirky
ok,fine
opulent,prosperous
other,different
outlandish,bizarre
outlaw,illicit
outlawed,illicit
outre,bizarre
overall,general
overriding,paramount
parched,dry
parsimonious,stingy
peerless,unique
pellucid,transparent
penetrating,sharp
peregrine,mobile
perfervid,fiery
perilous,dangerous
personal,private
phoney,bogus
picayune,petty
piddling,petty
piercing,sharp
piffling,petty
piquant,spicy
piteous,poor
pitiable,poor
pitiful,poor
pitiless,ruthless
placid,tranquil
pondering,reflective
powerful,strong
powerless,unable
practiced,proficient
predominate,paramount
premature,early
preponderant,paramount
preponderating,paramount
pretended,bogus
pretty,beautiful
pricey,expensive
primed,ready
principal,stellar
probable,likely
problematical,dubious
profound,deep
prohibited,illicit
pure,perfect
queer,peculiar
questionable,dubious
radiant,bright
rapid,fast
recent,new
redolent,reminiscent
reduced,low
relentless,unwavering
remindful,reminiscent
remorseless,ruthless
renowned,famous
reprehensible,criminal
revolting,hideous
risible,funny
risky,dangerous
robust,strong
rotten,shitty
routine,everyday
rum,peculiar
rummy,peculiar
ruttish,randy
sappy,silly
scarce,rare
scarey,scary
scorching,hot
scraggy,skinny
scrawny,skinny
senile,gaga
separate,different
serene,tranquil
severe,deep
sham,bogus
shiny,bright
shuddery,scary
significant,important
simulated,bogus
singular,unique
skilful,proficient
skillful,proficient
sluggish,lazy
soaked,wet
sodding,perfect
soggy,wet
soldierlike,martial
soldierly,martial
solemn,serious
