# syn_n_rewrite.txt — Tier A hard-rewrite lookup
# Source: pick_canonicals_n.py --emit (Policy C on syn_n_10.txt)
# Members that are themselves canonicals of any cluster are not
# emitted. On ambiguity across SAFE clusters, highest member score wins.
# Format: member,canonical
#
adult_female,woman
advert,ad
advertisement,ad
aftermath,wake
aggregate,total
airplane,plane
alteration,change
assist,help
assistance,help
athletics,sport
aussie,australian
auto,car
automobile,car
babe,baby
baby_grand_piano,baby_grand
beast,animal
belongings,property
bidding,command
bloke,fellow
borderline,border
business_organisation,business
business_organization,business
category,class
caucasian,white
champ,champion
cheque,check
class_warfare,class_war
close,last
cognition,knowledge
communicating,communication
communist_china,china
component_part,part
composite,complex
consequence,result
construct,concept
contemporaries,generation
control_panel,control_board
cosmos,world
course_of_instruction,course
crap,shit
creature,animal
criminal_offence,crime
criminal_offense,crime
criterion,standard
crook,criminal
daddy,dad
delay,wait
disdain,despite
divine_service,religious_service
doc,doctor
dozens,lots
electric_automobile,electric
electronic_computer,computer
enquiry,question
exercising,exercise
feb,february
fella,fellow
fellow_member,member
female_parent,mother
finishing,finish
fiscal_year,financial_year
flowing,flow
focusing,focus
foliage,leaf
frame_of_mind,state_of_mind
framework,model
fright,fear
gag,joke
greater_london,london
greater_new_york,new_york
grin,smile
gross_sales,sales
grouping,group
hatred,hate
hazard,risk
headache,worry
hr,hour
hubby,husband
hurting,pain
individual,person
infant,baby
inferno,hell
infirmary,hospital
info,information
instance,case
instructor,teacher
international_system_of_units,international_system
investing,investment
jeopardy,risk
korean_peninsula,korea
lad,fellow
laughter,laugh
linguistic_context,context
listing,list
living_accommodations,housing
lodging,housing
luncheon,lunch
mag,magazine
male_monarch,king
male_parent,father
mama,mom
mamma,mom
managing_director,director
manner,way
manpower,men
mapping,function
marketplace,market
medical_exam,medical
medical_examination,medical
merchandise,product
metallic_element,metal
metropolis,city
minor,child
missionary_post,mission
missionary_station,mission
mitt,hand
momma,mom
mommy,mom
mon,monday
monetary_fund,fund
mummy,mom
narration,story
narrative,story
negotiation,talks
noel,christmas
nominee,candidate
nutrient,food
optic,eye
ordinary_life_insurance,whole_life_insurance
organic_structure,body
outlaw,criminal
papa,dad
passing_water,making_water
pastor,minister
pedestal,stand
percentage,percent
peril,risk
personal_relation,personal_relationship
perspective,view
photographic_camera,camera
physical_structure,body
physician,doctor
pic,film
piece_of_ass,fuck
popular_music_genre,popular_music
posing,sitting
prof,professor
projection_screen,screen
proprietor,owner
province,state
psyche,mind
pupil,student
query,question
rainfall,rain
receipts,revenue
rector,minister
refined_sugar,sugar
regime,government
religious_belief,faith
remark,comment
reply,answer
return_on_invested_capital,return_on_investment
rex,king
running_headline,running_head
saloon,bar
savvy,understanding
scots,scottish
scots_english,scottish
screwing,fuck
senior_high_school,high_school
sense_impression,sense_experience
sexual_practice,sex
shaft_of_light,ray
shite,shit
somebody,someone
spouse,partner
spreading,spread
stairs,steps
statistical_distribution,distribution
statute_title,title
survey,study
tale,story
taste_perception,taste
taste_sensation,taste
telephone,phone
telephone_bill,phone_bill
telephone_book,phone_book
telephone_company,phone_company
telephone_message,phone_message
telephone_number,phone_number
telephone_service,phone_service
telephone_set,phone
telephone_system,phone_system
textual_matter,text
the_ways_of_the_world,the_way_of_the_world
touching,touch
trauma,hurt
traveling,travel
travelling,travel
tribunal,court
trinity,three
triumph,victory
trust_corporation,trust_company
universe,world
usage,use
utilization,use
vale,valley
velocity,speed
verbal_description,description
visible_light,light
warfare,war
weaponry,arms
wellness,health
workforce,men
workout,exercise
world_organisation,world_organization
young_lady,girl
yr,year
