# syn_v_rewrite.txt — Tier A hard-rewrite lookup
# Source: pick_canonicals_v.py --emit (Policy C on syn_v_10.txt)
# Members that are themselves canonicals of any cluster are not
# emitted. On ambiguity across SAFE clusters, highest member score wins.
# Format: member,canonical
#
accumulate,collect
aid,help
alter,change
analyse,study
analyze,study
animate,inspire
appease,gentle
approve,okay
assist,help
attempt,try
attest,evidence
auctioneer,auction
avenge,revenge
badger,bug
blossom,flower
brave,weather
burrow,tunnel
censor,ban
certify,evidence
chase_away,drive_away
chevy,harry
cloak,mask
collar,arrest
compile,collect
conceal,hide
conclude,reason
deluge,flood
delve,dig
demo,show
demonstrate,show
deprive,strip
desire,want
desolate,desert
discourse,discuss
disgrace,shame
dispute,challenge
disregard,ignore
disturb,trouble
doom,fate
dunk,dip
emphasize,stress
employ,use
examine,study
exert,exercise
feel_like_a_million_dollars,feel_like_a_million
flavor,season
flavour,season
flux,flow
fob,fox
foreground,highlight
fright,scare
frighten,scare
furnish,provide
fuse,mix
gull,fool
hap,happen
harass,harry
have_got,have
hulk,tower
illustrate,instance
inhabit,live
injure,wound
inquire,ask
jest,joke
kip,sleep
lash,whip
leap,spring
legalize,legitimate
loose,free
manifest,evidence
mediate,intermediate
merchandise,trade
occur,happen
pattern,model
pen,write
pervert,corrupt
pour_cold_water_on,throw_cold_water_on
preclude,prevent
presume,assume
procure,secure
propose,suggest
pull_a_face,make_a_face
purchase,buy
reap,harvest
reiterate,repeat
rejoice,joy
relate,link
relish,enjoy
remain,stay
remark,note
reply,answer
require,need
retaliate,revenge
revere,worship
rue,regret
rupture,tear
salvage,save
scrap,trash
seize_with_teeth,bite
shin,skin
shut,close
sieve,sort
slumber,sleep
spawn,breed
stab,knife
stockpile,stock
stomp,stamp
tag,mark
take_the_fifth_amendment,take_the_fifth
telegraph,cable
tent,camp
throttle,limit
tinker,potter
torment,torture
traverse,cross
twinkle,flash
uncover,reveal
utilize,use
vanish,disappear
vie,compete
wed,marry
wedge,stick
worsen,decline
yank,jerk
